de	-e/-dan, -den; ...nin
burlar	alay etmek
occidental	Batılı; batıya ait
leyenda	efsane
naturalmente	doğal olarak
sospecha	şüphe
escolar	okulla ilgili; öğrenci
queja	şikâyet
perfil	profil
escándalo	skandal
habitante	sakin; yaşayan kişi
columna	sütun
arresto	gözaltı; tutuklama
poesía	şiir; şiir sanatı
sacrificio	fedakârlık; kurban
bienes	mallar; varlıklar
avergonzar	utandırmak
aumentar	artırmak; artmak
ingeniero	mühendis
fórmula	formül
oponer	karşı çıkmak
vomitar	kusmak
alquilar	kiralamak
situar	konumlandırmak
cortado	kesilmiş
dibujar	çizmek
clark	Clark (özel isim)
consejero	danışman
carl	Carl (özel isim)
cazador	avcı
alejado	uzak
fabricar	üretmek
onda	dalga
testimonio	tanıklık
comprometer	taahhüt etmek; riske atmak
monte	dağ; tepe
joya	mücevher
repartir	dağıtmak
titular	başlık atmak; unvan sahibi
gerente	müdür
ambulancia	ambulans
otorgar	vermek; bahşetmek
inicio	başlangıç
traidor	hain
emocionado	hevesli; duygulanmış
cantante	şarkıcı
sumar	toplamak
despierto	uyanık
residencia	ikamet; yurt
múltiple	çoklu
ed	Ed (özel isim)
lord	lord (unvan)
monje	rahip; keşiş
pasta	makarna; hamur; para (argo)
mezclar	karıştırmak
océano	okyanus
justificar	haklı çıkarmak; gerekçelendirmek
vital	hayati; canlı
grace	Grace (özel isim)
involucrar	dahil etmek
posterior	sonraki; arka
delicado	narin; hassas
pene	penis
juzgado	mahkeme; yargılanmış
distinguir	ayırt etmek
garganta	boğaz
aproximadamente	yaklaşık
dorado	altın renkli
once	on bir
fracasar	başarısız olmak
terapia	terapi
aterrizar	iniş yapmak
portar	taşımak; davranmak
reportar	rapora bildirmek
ja	ha (gülme/ünlem)
cuarenta	kırk
roger	Roger (özel isim)
medicamento	ilaç
comprometido	bağlı; nişanlı
esencial	temel; vazgeçilmez
avanzado	ileri düzey; ilerlemiş
vampiro	vampir
vasco	Bask; Baskça
grano	tahıl tanesi; sivilce
docena	düzine
pasajero	yolcu; geçici
sacrificar	feda etmek
potencia	güç; kuvvet
nombrar	adlandırmak; atamak
galleta	kurabiye; bisküvi
construido	inşa edilmiş
adelantar	öne geçirmek; ilerletmek
revolucionario	devrimci
annie	Annie (özel isim)
casualidad	tesadüf
género	cinsiyet; tür
reparar	tamir etmek; fark etmek
horno	fırın
valioso	değerli
individual	bireysel
lector	okuyucu
piano	piyano
km	kilometre kısaltması
ducha	duş
sabio	bilge
simon	Simon (özel isim)
fiebre	ateş; hummalı durum
alegre	neşeli
ámbito	alan; kapsam
claire	Claire (özel isim)
tirado	atılmış; yerde
criticar	eleştirmek
global	küresel
correspondiente	ilgili; karşılık gelen
incómodo	rahatsız
ee	EE (veri artığı)
emplear	kullanmak; istihdam etmek
desagradable	hoş olmayan
idioma	dil
ciclo	döngü; çevrim
mecánico	mekanik; tamirci
escritorio	çalışma masası
rama	dal
refugio	sığınak
firmado	imzalanmış
remedio	çare; ilaç
dormitorio	yatak odası
jurídico	hukuki
ejecutar	yürütmek; infaz etmek
recompensa	ödül
especialista	uzman
gris	gri
rumbo	yön; rota
satisfecho	memnun
sótano	bodrum
kyle	Kyle (özel isim)
arroz	pirinç
pintor	ressam
antecedente	önceki olay; geçmiş bilgi
video	video
gobernar	yönetmek
lentamente	yavaşça
tanque	tank; depo
f	F harfi
prostituto	erkek seks işçisi
gary	Gary (özel isim)
crema	krema; krem
taller	atölye
posiblemente	muhtemelen
acontecimiento	olay
guiar	rehberlik etmek; yönlendirmek
generalmente	genellikle
ted	Ted (özel isim)
competir	yarışmak
bota	çizme
duque	dük
ola	dalga
sofá	kanepe
concentración	yoğunlaşma
pastilla	hap; tablet
salario	maaş
verificar	doğrulamak
arreglo	düzenleme; tamir
corredor	koşucu; koridor
asamblea	meclis; toplantı
colonia	koloni; semt
rescate	kurtarma
marcado	işaretlenmiş; belirgin
despedida	veda
malvado	kötü; zalim
asalto	saldırı; soygun
estimar	tahmin etmek; değer vermek
lesión	yaralanma
calentar	ısıtmak
cargado	yüklü
filosofía	felsefe
susan	Susan (özel isim)
temblar	titremek
urgencia	aciliyet; acil servis
aparición	görünme; ortaya çıkma
estallar	patlamak
anual	yıllık
jackson	Jackson (özel isim)
bicicleta	bisiklet
invitación	davet
ayudante	yardımcı
observación	gözlem
cansar	yormak
informado	bilgilendirilmiş
combustible	yakıt
almacén	depo; mağaza
alice	Alice (özel isim)
abordar	ele almak; gemiye binmek
túnel	tünel
viudo	dul erkek
fruto	meyve; sonuç
lógica	mantık
sólido	katı; sağlam
academia	akademi
citado	alıntılanmış; çağrılmış
impulso	itki; dürtü
actualidad	güncellik; günümüz
máscara	maske
protesta	protesto
veneno	zehir
rose	Rose (özel isim)
luke	Luke (özel isim)
cartera	cüzdan; portföy
lejano	uzak
derivar	türemek; yönlendirmek
encendido	açık; yanmış
canto	şarkı; ötüş; kenar
lucy	Lucy (özel isim)
situado	konumlanmış
oscar	Oscar (özel isim)
tejido	doku; kumaş
enseñanza	öğretim
vendedor	satıcı
fundación	vakıf; kuruluş
nervio	sinir
ascender	yükselmek; terfi etmek
park	Park (özel isim/İngilizce veri artığı)
helicóptero	helikopter
significativo	anlamlı; önemli
centrar	merkezlemek
católico	Katolik
equilibrio	denge
horario	program; saat çizelgesi
garantía	garanti
camarada	yoldaş; arkadaş
invertir	yatırım yapmak; ters çevirmek
generoso	cömert
zorra	dişi tilki; fahişe (hakaret)
moto	motosiklet
soledad	yalnızlık
plantar	dikmek; bırakmak
aconsejar	tavsiye etmek
vicepresidente	başkan yardımcısı
guión	senaryo; kısa çizgi
jones	Jones (özel isim)
primario	birincil; ilkokulla ilgili
lujo	lüks
concreto	somut; beton
esperado	beklenen
sede	merkez; karargâh
sujetar	tutmak; sabitlemek
dosis	doz
grabación	kayıt
petróleo	petrol
bailarín	dansçı
recuperación	iyileşme; geri kazanım
conectado	bağlı
consulta	danışma; sorgu
phil	Phil (özel isim)
uu	UU (kısaltma/veri artığı)
apellido	soyadı
batir	çırpmak; yenmek
colina	tepe
adorable	sevimli
presidencia	başkanlık
pacto	anlaşma; pakt
descartar	elemek; göz ardı etmek
derribar	yıkmak; devirmek
valorar	değer vermek; değerlendirmek
sorprendente	şaşırtıcı
perdedor	kaybeden
músico	müzisyen
josh	Josh (özel isim)
virtud	erdem; özellik
casco	kask; gövde
interpretación	yorum; canlandırma
secuestro	kaçırma; rehin alma
solicitud	başvuru; talep
pescar	balık tutmak
reto	meydan okuma
aguardar	beklemek
estropear	bozmak
pariente	akraba
citar	alıntı yapmak; randevu vermek
rebelde	asi
campesino	köylü; çiftçi
confundido	kafası karışmış
novedad	yenilik
federación	federasyon
frecuente	sık
asociado	ilişkili; ortak
rival	rakip
cerebral	beyinle ilgili
tragedia	trajedi
morgan	Morgan (özel isim)
distribución	dağıtım
pánico	panik
dispositivo	cihaz
infancia	çocukluk
tubo	boru
divino	ilahi; harika
taylor	Taylor (özel isim)
riqueza	zenginlik
protagonista	başrol; ana karakter
falla	hata; arıza
genético	genetik
jenny	Jenny (özel isim)
ejecución	uygulama; infaz
razonable	makul
naranja	portakal; turuncu
tim	Tim (özel isim)
poli	polis (argo)
apariencia	görünüş
medianoche	gece yarısı
almorzar	öğle yemeği yemek
encanto	çekicilik; büyü
louis	Louis (özel isim)
pluma	tüy; kalem
izquierdo	sol
enterrado	gömülmüş
principalmente	çoğunlukla
dragón	ejderha
teta	meme (günlük/kaba)
limpieza	temizlik
amanecer	şafak; gün doğmak
penal	cezai; penaltı
timar	dolandırmak
tele	televizyon (günlük)
combatir	savaşmak; mücadele etmek
grasa	yağ; gres
liberal	liberal
multitud	kalabalık
cinturón	kemer
frito	kızarmış
protegido	korunmuş
gota	damla; gut hastalığı
logro	başarı
préstamo	borç; kredi
cañón	top; kanyon; namlu
excelencia	mükemmellik
forense	adli tıp uzmanı; adli
rehén	rehine
debilidad	zayıflık
pozo	kuyu
depresión	depresyon; çöküntü
independencia	bağımsızlık
instinto	içgüdü
patria	vatan
conejo	tavşan
automóvil	otomobil
incrementar	artırmak
abrazo	sarılma
arthur	Arthur (özel isim)
forzar	zorlamak
sueldo	maaş
pavo	hindi; aptal (günlük)
parlamentario	parlamenter
pastor	çoban; papaz
karen	Karen (özel isim)
feria	fuar; panayır
sobrar	artmak; fazla gelmek
arco	yay; kemer
sangrar	kanamak
argentino	Arjantinli
apetecer	canı istemek
emocionante	heyecean verici
espectador	seyirci
aliento	nefes; cesaret
flota	filo
músculo	kas
postura	duruş; tutum
mejora	iyileşme
recurrir	başvurmak; tekrar etmek
paro	işsizlik; duruş
camiseta	tişört
infección	enfeksiyon
retrato	portre
chupar	emmek; yalamak
doc	doktor (kısaltma/özel hitap)
paisaje	manzara
descender	inmek; düşmek
lanza	mızrak
aniversario	yıldönümü
estadio	stadyum; aşama
ampliar	genişletmek
destrozar	paramparça etmek
transportar	taşımak
descubrimiento	keşif
pronunciar	telaffuz etmek; ilan etmek
destrucción	yıkım
rubio	sarışın
gasolina	benzin
payaso	palyaço
resolución	çözüm; karar
descripción	tanım
diagnóstico	teşhis
profundamente	derinden
doloroso	acı verici
vencido	yenilmiş; süresi geçmiş
callado	sessiz
doblar	katlamak; dönmek; dublaj yapmak
guante	eldiven
favorecer	desteklemek; yarar sağlamak
jovencito	genç çocuk
socorro	yardım!; yardım
grabado	gravür; kaydedilmiş
universal	evrensel
profundidad	derinlik
quemado	yanmış
joey	Joey (özel isim)
condena	ceza; mahkûmiyet
masculino	eril; erkeksi
torneo	turnuva
patata	patates
emocional	duygusal
fred	Fred (özel isim)
vincular	bağlamak
asistencia	yardım; katılım
ajeno	başkasına ait; yabancı
invadir	işgal etmek
reducido	azaltılmış; küçük
verdaderamente	gerçekten
funcionamiento	işleyiş
asco	iğrenme
componente	bileşen
angel	Angel (özel isim; ayrıca ángel=melek)
dieta	diyet
reputación	itibar
entorno	çevre
biológico	biyolojik
relativo	göreli; ilgili
extraer	çıkarmak
administrativo	idari
paraíso	cennet
miserable	sefil; zavallı
profesión	meslek
chuck	Chuck (özel isim)
terror	dehşet
conversar	sohbet etmek
íntimo	samimi; mahrem
oficio	meslek; görev
galería	galeri
enfrente	karşıda
probabilidad	olasılık
madame	madam
bloque	blok; kütle
derrota	yenilgi
pensión	emekli maaşı; pansiyon
semilla	tohum
inmenso	engin; çok büyük
fabuloso	muhteşem
alterar	değiştirmek; bozmak
visitante	ziyaretçi
hank	Hank (özel isim)
mediodía	öğlen
ácido	asit; ekşi
batería	pil; davul seti
estupidez	aptallık
alquiler	kira
disciplina	disiplin
dominio	hâkimiyet; alan adı
ron	rom
posesión	sahiplik; mülk
preparación	hazırlık
hilo	iplik; konu dizisi
julie	Julie (özel isim)
pico	gaga; tepe; uç
costado	yan taraf
sufrimiento	acı; ıstırap
lata	konserve kutusu; rahatsızlık
programar	programlamak
impulsar	itmek; teşvik etmek
alteza	yücelik; majesteleri
follar	cinsel ilişkiye girmek (kaba)
cementerio	mezarlık
cuartel	kışla
comando	komando; komut
obrero	işçi
promover	teşvik etmek; terfi ettirmek
limitado	sınırlı
provenir	kaynaklanmak
transmisión	iletim; yayın
molestia	rahatsızlık
collar	kolye; tasma
comisaría	polis merkezi
relacionar	ilişkilendirmek
pulso	nabız; bilek güreşi
hábito	alışkanlık; giysi
recibo	makbuz; alırım (recibir)
entrevistar	röportaj yapmak
maggie	Maggie (özel isim)
portavoz	sözcü
incremento	artış
captar	yakalamak; anlamak
líquido	sıvı
gravedad	yerçekimi; ciddiyet
apertura	açılış
usuario	kullanıcı
combinación	kombinasyon
espiritual	ruhani
literalmente	kelimenin tam anlamıyla
despejado	açık (hava); boşaltılmış
intercambio	değiş tokuş
estable	istikrarlı; sağlam
terrorista	terörist
campeonato	şampiyona
expuesto	maruz kalmış; sergilenmiş
custodia	velayet; gözetim
consideración	değerlendirme; saygı
patético	acınası
someter	boyun eğdirmek; tabi tutmak
sacudir	silkelemek
medalla	madalya
esforzar	çabalamak; zorlamak
guitarra	gitar
avenida	cadde
únicamente	yalnızca
índice	indeks; işaret parmağı
insultar	hakaret etmek
furioso	öfkeli
atado	bağlı
literario	edebi
conquistar	fethetmek; kazanmak
recorrido	güzergâh; kat edilmiş yol
educativo	eğitici; eğitime ait
notable	dikkate değer
concepción	anlayış; kavrayış; gebe kalma
pasaporte	pasaport
prioridad	öncelik
condado	ilçe; kontluk
carecer	-yoksun olmak
empeorar	kötüleşmek
aldea	köy
compensar	telafi etmek
liberación	özgürleştirme
prohibir	yasaklamak
chocar	çarpmak; şoke etmek
subtítulo	altyazı; alt başlık
procurar	çabalamak; sağlamaya çalışmak
uña	tırnak
demandar	talep etmek; dava açmak
aliado	müttefik
oficialmente	resmî olarak
árabe	Arap; Arapça
cálculo	hesaplama
armar	silahlandırmak; kurmak
porcentaje	yüzde
torturar	işkence etmek
ratón	fare; bilgisayar faresi
súper	süper; süpermarket
colaboración	iş birliği
cesar	sona ermek; durmak
opuesto	zıt
vengar	intikamını almak
campana	çan
giro	dönüş; havale
mato	öldürüyorum/öldürdü bağlama göre (matar çekimi)
acelerar	hızlandırmak
euro	avro
psicológico	psikolojik
núcleo	çekirdek; merkez
acumular	biriktirmek
receta	tarif; reçete
tigre	kaplan
atmósfera	atmosfer
atribuir	atfetmek
transferir	aktarmak
ligar	bağlamak; flört etmek
cuarta	dördüncü (dişil)
olvido	unutma
tripulación	mürettebat
pulmón	akciğer
proyectar	planlamak; yansıtmak
oración	cümle; dua
lidiar	başa çıkmak
impresionar	etkilemek
pegado	yapışık
calificar	nitelendirmek; not vermek
ascensor	asansör
decente	terbiyeli; düzgün
tonelada	ton
seno	göğüs; sinüs
radical	radikal
corrupción	yolsuzluk
presa	baraj; tutsak/av (dişil)
dictar	dikte etmek; hükmetmek
danza	dans
definición	tanım
finalizar	bitirmek
fuga	kaçış; sızıntı
obispo	piskopos
miro	bakıyorum (mirar çekimi)
adaptar	uyarlamak
suplicar	yalvarmak
beneficiar	yarar sağlamak
cuestionar	sorgulamak
artificial	yapay
cuán	ne kadar
boleto	bilet
bombero	itfaiyeci
drama	dram
barba	sakal
constitucional	anayasal
griego	Yunan; Yunanca
paliza	dayak; ağır yenilgi
exceso	aşırılık; fazlalık
diplomático	diplomatik; diplomat
masivo	kitlesel; büyük çaplı
tomate	domates
orgánico	organik
exclusivo	özel; münhasır
circuito	devre; pist
tremendo	muazzam; korkunç
patrulla	devriye
contexto	bağlam
inconsciente	bilinçsiz; baygın
satélite	uydu
evaluación	değerlendirme
celebración	kutlama
cuadrado	kare
ganancia	kazanç
amén	amin
confesión	itiraf
manipular	manipüle etmek
aprecio	takdir; sevgi
champán	şampanya
jugo	meyve suyu; öz
dignidad	onur; saygınlık
fallo	hata; karar
ajustar	ayarlamak
aburrir	sıkmak
aislado	izole; yalnız
cultivo	tarım; ürün yetiştirme
pisar	basmak
desayunar	kahvaltı yapmak
postre	tatlı
incapaz	yetersiz; yapamaz
dramático	dramatik
reservado	ayrılmış; içine kapanık
variedad	çeşitlilik
sed	susuzluk
rincón	köşe
editor	yayıncı; editör
alzar	kaldırmak
electricidad	elektrik
republicano	cumhuriyetçi
aplauso	alkış
distraer	dikkatini dağıtmak
delincuente	suçlu
negativa	ret; olumsuzluk
regular	düzenli; orta; düzenlemek
oxígeno	oksijen
atentado	saldırı; suikast girişimi
planeado	planlanmış
pausa	ara
recepción	resepsiyon; alım
mago	sihirbaz
cabaña	kulübe
fama	şöhret
confuso	kafası karışık; belirsiz
visual	görsel
respiración	nefes; solunum
fatal	ölümcül; berbat
revés	ters; aksilik
grita	bağırıyor (gritar çekimi)
colaborar	iş birliği yapmak
sirviente	hizmetçi
felicitar	tebrik etmek
agenda	ajanda; gündem
cardíaco	kalple ilgili
lealtad	sadakat
reducción	azaltma
escape	kaçış
gráfico	grafik; görsel
caos	kaos
acero	çelik
apresurar	acele ettirmek
plástico	plastik
cooperación	iş birliği
adonde	nereye/nerede (vurgusuz)
bañar	yıkamak; banyo yaptırmak
guau	hav hav; vay
publicación	yayın
desaparición	kaybolma
presidencial	başkanlıkla ilgili
establecimiento	kuruluş; işletme
anónimo	anonim
defensor	savunucu
indígena	yerli
satisfacer	memnun etmek
civilización	uygarlık
relato	anlatı; hikâye
factura	fatura
lanzamiento	fırlatma; lansman
ingrediente	malzeme
soltero	bekâr
condenar	mahkûm etmek
conservador	muhafazakâr; koruyucu
macho	erkek; eril
palomo	erkek güvercin
invisible	görünmez
advertencia	uyarı
confusión	karışıklık
defecto	kusur
sudar	terlemek
sexto	altıncı
